# h w p block par seq
2319 2995 2 748 0.093581 0.033510
2319 2995 3 499 0.066753 0.034171
2319 2995 4 374 0.053061 0.034995
2319 2995 5 299 0.089452 0.035015
2319 2995 6 249 0.090242 0.035047
2319 2995 7 213 0.086056 0.035046
2319 2995 8 187 0.074806 0.035044
2319 2995 1 1497 0.175677 0.034354
2319 2995 2 748 0.093909 0.034134
2319 2995 3 499 0.066700 0.034525
2319 2995 4 374 0.053014 0.035051
2319 2995 5 299 0.083365 0.035079
2319 2995 6 249 0.084774 0.035043
2319 2995 7 213 0.096164 0.035098
2319 2995 8 187 0.081242 0.035047
2319 2995 1 1497 0.175272 0.033758
2319 2995 2 748 0.094243 0.034183
2319 2995 3 499 0.066507 0.034491
2319 2995 4 374 0.053559 0.035176
2319 2995 5 299 0.083712 0.035184
2319 2995 6 249 0.071268 0.035206
2319 2995 7 213 0.083704 0.035021
2319 2995 8 187 0.080322 0.035044
2319 2995 1 1497 0.175486 0.034239
2319 2995 2 748 0.093777 0.034353
2319 2995 3 499 0.066360 0.034824
2319 2995 4 374 0.053632 0.035014
2319 2995 5 299 0.088926 0.035037
2319 2995 6 249 0.071612 0.035097
2319 2995 7 213 0.099797 0.035042
2319 2995 8 187 0.086987 0.035056
2319 2995 1 1497 0.175354 0.033404
2319 2995 2 748 0.093175 0.033483
2319 2995 3 499 0.066676 0.034370
2319 2995 4 374 0.056735 0.035022
2319 2995 5 299 0.082844 0.035106
2319 2995 6 249 0.077617 0.035050
2319 2995 7 213 0.086855 0.035060
2319 2995 8 187 0.090927 0.035051
2319 2995 1 1497 0.175070 0.033959
2319 2995 2 748 0.094354 0.034199
2319 2995 3 499 0.067477 0.034416
2319 2995 4 374 0.053095 0.035087
2319 2995 5 299 0.085573 0.035046
2319 2995 6 249 0.081093 0.035048
2319 2995 7 213 0.076151 0.035012
2319 2995 8 187 0.090309 0.035014
2319 2995 1 1497 0.176293 0.034255
2319 2995 2 748 0.094431 0.034182
2319 2995 3 499 0.066750 0.034602
2319 2995 4 374 0.053124 0.035052
2319 2995 5 299 0.083379 0.035096
2319 2995 6 249 0.089200 0.035045
2319 2995 7 213 0.071584 0.035045
2319 2995 8 187 0.076970 0.035050
2319 2995 1 1497 0.175909 0.033313
2319 2995 2 748 0.094383 0.034640
2319 2995 3 499 0.066530 0.034367
2319 2995 4 374 0.053270 0.035018
2319 2995 5 299 0.082904 0.035046
2319 2995 6 249 0.080031 0.035054
2319 2995 7 213 0.082944 0.035049
2319 2995 8 187 0.089069 0.035045
2319 2995 1 1497 0.175344 0.034192
2319 2995 2 748 0.096624 0.036829
2319 2995 3 499 0.066596 0.035021
