h w p k r par_time seq_time
8192 8192 16 1 512 0.140008 0.429181
8192 8192 16 4 128 0.134279 0.428669
8192 8192 16 128 2 0.197331 0.415375
8192 8192 16 128 4 0.176830 0.419263
8192 8192 16 64 8 0.155145 0.417650
8192 8192 16 32 16 0.145334 0.415613
8192 8192 16 16 32 0.142144 0.428729
8192 8192 16 8 64 0.133493 0.428709
8192 8192 16 4 128 0.134150 0.428916
8192 8192 16 2 256 0.136995 0.428784
8192 8192 16 1 512 0.134893 0.428932
8192 8192 16 4 128 0.132917 0.415930
8192 8192 16 128 2 0.198076 0.417475
8192 8192 16 128 4 0.177947 0.415565
8192 8192 16 64 8 0.156956 0.415937
8192 8192 16 32 16 0.146156 0.428671
8192 8192 16 16 32 0.138539 0.418893
8192 8192 16 8 64 0.132918 0.419773
8192 8192 16 4 128 0.132753 0.415675
8192 8192 16 2 256 0.137185 0.428766
8192 8192 16 1 512 0.135821 0.419305
8192 8192 16 4 128 0.134774 0.423076
8192 8192 16 128 2 0.193024 0.417474
8192 8192 16 128 4 0.175976 0.428663
8192 8192 16 64 8 0.157231 0.420310
8192 8192 16 32 16 0.146104 0.418391
8192 8192 16 16 32 0.141844 0.428671
8192 8192 16 8 64 0.131539 0.417295
8192 8192 16 4 128 0.137655 0.429214
8192 8192 16 2 256 0.136275 0.416354
8192 8192 16 1 512 0.141591 0.428663
8192 8192 16 4 128 0.134122 0.416617
8192 8192 16 128 2 0.195990 0.415351
8192 8192 16 128 4 0.174010 0.415268
8192 8192 16 64 8 0.155384 0.428555
8192 8192 16 32 16 0.147143 0.416219
8192 8192 16 16 32 0.140932 0.416032
8192 8192 16 8 64 0.130431 0.416057
8192 8192 16 4 128 0.132903 0.419018
8192 8192 16 2 256 0.136196 0.417563
8192 8192 16 1 512 0.133415 0.420047
8192 8192 16 4 128 0.133251 0.419418
8192 8192 16 128 2 0.195157 0.415359
8192 8192 16 128 4 0.175482 0.415814
8192 8192 16 64 8 0.153550 0.415539
8192 8192 16 32 16 0.145680 0.415940
8192 8192 16 16 32 0.139416 0.415741
8192 8192 16 8 64 0.131777 0.416116
8192 8192 16 4 128 0.133704 0.429107
8192 8192 16 2 256 0.136097 0.418604
8192 8192 16 1 512 0.131766 0.415533
8192 8192 16 4 128 0.133719 0.418571
8192 8192 16 128 2 0.198534 0.428576
8192 8192 16 128 4 0.174276 0.415725
8192 8192 16 64 8 0.155278 0.416722
8192 8192 16 32 16 0.144304 0.415807
8192 8192 16 16 32 0.139857 0.415833
8192 8192 16 8 64 0.130592 0.417651
8192 8192 16 4 128 0.134722 0.415609
8192 8192 16 2 256 0.139299 0.428733
8192 8192 16 1 512 0.136715 0.416080
8192 8192 16 4 128 0.132122 0.419303
8192 8192 16 128 2 0.196005 0.415708
8192 8192 16 128 4 0.177201 0.415687
8192 8192 16 64 8 0.156613 0.415339
8192 8192 16 32 16 0.146187 0.415776
8192 8192 16 16 32 0.138651 0.415953
8192 8192 16 8 64 0.131082 0.416509
8192 8192 16 4 128 0.133787 0.417479
8192 8192 16 2 256 0.135398 0.428938
8192 8192 16 1 512 0.131469 0.416556
8192 8192 16 4 128 0.131716 0.417532
8192 8192 16 128 2 0.197317 0.416334
8192 8192 16 128 4 0.175319 0.418170
8192 8192 16 64 8 0.156532 0.419031
8192 8192 16 32 16 0.146578 0.418059
8192 8192 16 16 32 0.139913 0.415806
8192 8192 16 8 64 0.132411 0.418068
8192 8192 16 4 128 0.135166 0.428457
8192 8192 16 2 256 0.133541 0.418223
8192 8192 16 1 512 0.131319 0.419771
8192 8192 16 4 128 0.132704 0.418994
8192 8192 16 128 2 0.196829 0.417867
8192 8192 16 128 4 0.176568 0.415997
8192 8192 16 64 8 0.154989 0.416376
8192 8192 16 32 16 0.146880 0.416602
8192 8192 16 16 32 0.140736 0.415631
8192 8192 16 8 64 0.132438 0.415767
8192 8192 16 4 128 0.133854 0.417233
8192 8192 16 2 256 0.135986 0.415792
8192 8192 16 1 512 0.137888 0.415734
