w h p k r par_time seq_time
2048 2048 4 8 4 0.277104 0.213768
2048 2048 4 32 16 0.109370 0.213968
2048 2048 4 64 4 0.128298 0.213798
2048 2048 2 4 4 0.823653 0.215697
2048 2048 4 4 16 0.186438 0.213840
8192 8192 4 64 32 1.466311 3.481113
2048 2048 4 256 2 0.185061 0.215956
1024 1024 8 16 128 0.319951 0.103561
2048 2048 2 8 32 0.198849 0.213924
1024 1024 2 16 4 0.085568 0.053586
4096 4096 8 32 16 5.539966 1.736794
1024 1024 4 128 32 0.061598 0.053807
2048 2048 4 16 128 0.215320 0.215627
512 512 2 2 128 0.017666 0.013381
2048 2048 4 32 128 0.235248 0.214030
512 512 8 4 16 0.679942 0.023457
8192 8192 2 128 256 3.692910 3.454344
4096 4096 8 2 16 22.459849 1.739630
8192 8192 2 16 2 8.530265 3.453822
512 512 2 128 8 0.017953 0.013461
2048 2048 4 8 2 0.461619 0.213833
1024 1024 4 2 8 0.115712 0.053864
1024 1024 4 32 32 0.057439 0.054007
4096 4096 8 256 64 4.179905 1.736407
2048 2048 2 8 256 0.228626 0.216005
1024 1024 4 16 8 0.040370 0.053488
1024 1024 4 128 4 0.063025 0.053958
8192 8192 4 4 256 1.754166 3.452868
512 512 8 32 32 0.299815 0.023442
1024 1024 4 64 32 0.061756 0.053904
1024 1024 4 256 256 0.060667 0.053547
2048 2048 8 32 4 3.079948 0.435744
1024 1024 4 16 2 0.071290 0.053984
8192 8192 8 16 32 12.680015 6.903101
8192 8192 8 256 4 17.729806 6.904303
8192 8192 4 64 8 1.671161 3.453107
4096 4096 2 2 16 2.071254 0.869550
2048 2048 8 4 64 1.539952 0.424047
512 512 4 4 32 0.015508 0.013373
2048 2048 2 128 2 0.259945 0.214001
4096 4096 4 8 8 0.743264 0.867118
4096 4096 8 16 128 3.479911 1.734014
4096 4096 4 128 16 0.634333 0.863772
2048 2048 4 4 64 0.123949 0.213973
512 512 4 256 16 0.017701 0.013545
8192 8192 2 32 64 2.453721 3.453881
8192 8192 8 64 256 13.680071 6.904436
4096 4096 4 2 4 3.180516 0.870149
4096 4096 2 256 32 0.907126 0.863986
512 512 2 32 32 0.016797 0.013430
8192 8192 8 128 16 13.869858 6.914142
2048 2048 8 128 256 0.879907 0.435918
2048 2048 2 32 256 0.250644 0.215588
1024 1024 4 8 256 0.065755 0.053644
512 512 8 64 4 0.819885 0.023441
1024 1024 2 4 4 0.203044 0.053607
2048 2048 4 16 32 0.109517 0.213798
4096 4096 4 64 4 0.503534 0.869129
2048 2048 2 32 16 0.178100 0.215996
1024 1024 2 256 64 0.062482 0.053875
4096 4096 2 2 128 0.893852 0.869402
8192 8192 8 2 64 28.220150 6.975437
512 512 4 128 128 0.016752 0.013461
2048 2048 8 256 8 2.479940 0.424166
4096 4096 2 256 2 0.942669 0.866721
1024 1024 2 2 64 0.065877 0.053831
8192 8192 8 16 4 44.509914 6.904918
8192 8192 2 4 2 24.848212 3.453717
512 512 4 64 4 0.019770 0.013487
1024 1024 8 2 2 10.199873 0.103981
4096 4096 4 64 128 0.910864 0.863608
1024 1024 4 64 128 0.059288 0.046304
4096 4096 8 64 64 2.950000 1.744779
4096 4096 8 8 32 4.839800 1.735572
2048 2048 8 8 8 3.139964 0.437374
2048 2048 4 16 16 0.119811 0.216908
4096 4096 4 32 16 0.432414 0.869420
1024 1024 8 128 16 0.579951 0.104054
4096 4096 2 32 128 0.866952 0.865041
1024 1024 4 128 32 0.063918 0.053512
1024 1024 8 4 8 1.539948 0.103952
1024 1024 4 16 8 0.042364 0.053467
4096 4096 4 64 32 0.633694 0.874174
8192 8192 4 32 16 1.709847 3.463110
4096 4096 4 64 16 0.408657 0.865755
1024 1024 4 8 8 0.050896 0.053579
1024 1024 8 32 16 0.499941 0.103442
4096 4096 8 8 16 7.439774 1.753936
2048 2048 4 32 8 0.124787 0.213961
4096 4096 2 4 8 2.090565 0.865550
512 512 4 16 4 0.015526 0.013439
4096 4096 4 32 4 0.608654 0.874327
1024 1024 4 128 128 0.062700 0.053491
1024 1024 4 8 32 0.037060 0.053472
4096 4096 4 4 64 0.493595 0.869095
4096 4096 2 64 128 0.948256 0.874418
1024 1024 2 8 8 0.086967 0.054188
2048 2048 4 128 4 0.139318 0.213985
1024 1024 8 4 128 0.519917 0.103995
2048 2048 4 8 16 0.144945 0.216053
2048 2048 2 8 128 0.180193 0.214078
1024 1024 4 8 32 0.037759 0.053645
2048 2048 2 128 4 0.203473 0.213904
4096 4096 8 32 4 9.929925 1.739812
512 512 8 8 32 0.259851 0.023466
2048 2048 2 32 64 0.220250 0.214011
4096 4096 4 16 64 0.411517 0.865196
512 512 4 32 64 0.017548 0.013598
4096 4096 4 16 8 0.568951 0.866213
2048 2048 2 128 64 0.240489 0.214162
512 512 4 4 2 0.051108 0.013370
4096 4096 2 4 64 0.867371 0.865430
2048 2048 4 64 64 0.236436 0.213764
1024 1024 4 128 64 0.062990 0.053813
1024 1024 2 8 64 0.050030 0.053542
1024 1024 4 4 64 0.037637 0.053546
1024 1024 2 64 64 0.063833 0.053508
4096 4096 4 128 8 0.434757 0.865811
8192 8192 4 4 4 7.324167 3.493690
